property_id,county_fips_code,county,congressional_district_code,municipality_name,hud_property_name,property_street_address,city,state,zip_code,units,property_category_name,owner_organization_name,owner_address,owner_phone,owner_type,owner_effective_date,owner_id,property_manager_name,property_manager_company,property_manager_address,property_manager_phone,property_manager_email,property_manager_type,servicing_site_name
800084647,42003,Allegheny,15,West View,Houlihan's,902 Apollo Drive,New Berlin,PA,46953,300,Insured-Subsidized,Housing Authority of Fawn,"121 Bengal Ferry, Chester, DE 75085",(412) 408-5653,Limited Dividend,2011-09-09,362040,Ike Ramirez,Amgen,1373 Riverton Spur,(412) 883-3766,script1876@outlook.com,Non-Profit,OHP
800902898,42003,Allegheny,12,Marshall,Wealthy Ideas,1048 Rod Motorway,Fresno,PA,55530,238,Insured-Subsidized,Housing Authority of Pittsburgh,"952 Young Terrace, Austin, ME 98688",(412) 567-3828,Profit Motivated,2009-05-07,351501,Tristan James,Memorec,274 Kobbe Plaza,(412) 417-0905,clan2082@duck.com,Profit Motivated,OHP
800986811,42003,Allegheny,15,Pleasant Hills,Six Flags,1165 Delano Station,Kirkwood,PA,32302,277,Insured-Unsubsidized,Housing Authority of Ohara,"1084 Exposition Trail, Harlingen, OK 12098",(412) 962-7895,Non-Profit,2000-01-17,301831,Tyler Puckett,SBC Communications,420 Chula Field,(412) 994-0875,dressed2014@gmail.com,Non-Profit,Pittsburgh
800834362,42003,Allegheny,16,Tarentum,Group O,416 Parker Square,Sioux Falls,PA,02318,224,Insured-Subsidized,Housing Authority of North Braddock,"485 Genoa Street, Liberal, MT 56713",(412) 678-5553,Non-Profit,1978-08-21,377138,Refugio Burns,Brilliant Home Designs,115 Calgary Turnpike,(412) 845-6529,pit2041@yandex.com,Non-Profit,Baltimore
800219608,42003,Allegheny,16,Bradford Woods,234 Arelious Walker Gardens,1383 Cielito Gardens,Milwaukie,PA,91030,315,Insured-Unsubsidized,Housing Authority of Pine,"373 Berry Landing, Universal City, GA 10758",(412) 123-5928,Profit Motivated,1974-12-26,304835,Agnus Berg,Life's Gold,1098 Gallagher Square,(412) 410-0707,selected2092@live.com,Non-Profit,Baltimore
800744362,42003,Allegheny,13,Whitehall,967 Saroyan Rapids,72 Bepler Trail,Idaho Falls,PA,60505,63,Insured-Subsidized,Housing Authority of Leetsdale,"1227 Cornwall Court, Utica, NV 87432",(412) 764-0665,Non-Profit,1984-10-27,148444,Corrinne Berg,AC Lens,112 Case Viaduct,(412) 887-2950,officer2068@yahoo.com,Non-Profit,OHP
800689247,42003,Allegheny,16,Bellevue,224 Oakdale Circle,422 Nimitz Center,Garner,PA,85929,363,Insured-Subsidized,Housing Authority of South Park,"223 Oak Hills Junction, Allen, LA 75566",(412) 522-6133,Profit Motivated,1989-10-18,287245,Aurelio Hernandez,AGCO,1033 Evans Freeway,(412) 543-8376,structure2092@example.com,Limited Dividend,OHP
800893596,42003,Allegheny,12,Ben Avon,731 Los Palmos Drive,1240 Mcnair Route,Bethlehem,PA,21000,339,Insured-Unsubsidized,Housing Authority of Ingram,"278 Exchange Highway, Redondo Beach, MS 84685",(412) 212-5530,Non-Profit,2019-09-24,70815,Jan Edwards,Magna Architectural Design,35 Chatham Row,(412) 918-2338,serve1997@example.com,Limited Dividend,Baltimore
800575764,42003,Allegheny,16,Baldwin,30 Colon Court,1267 Virgil Bridge,North Olmsted,PA,65469,396,Insured-Unsubsidized,Housing Authority of Robinson,"158 Teddy Pine, Brownsburg, KS 73554",(412) 386-8007,Limited Dividend,2006-11-07,77048,Carylon Mccoy,Earthworks Garden Kare,826 Friendship Crossing,(412) 730-4046,confirmed1897@yahoo.com,Limited Dividend,OHP
800743521,42003,Allegheny,18,Jefferson Hills,748 San Anselmo Creek,643 Rolph Heights,American Fork,PA,84509,417,Insured-Subsidized,Housing Authority of Reserve,"135 Market Place, Cape Girardeau, WY 60347",(412) 675-8845,Limited Dividend,1996-06-21,378907,Anibal Giles,Zaxby's,695 Goethe Crescent,(412) 360-4355,precious1951@duck.com,Non-Profit,Baltimore
800749796,42003,Allegheny,17,Swissvale,Venus Swimwear,790 San Luis Turnpike,Green Bay,PA,24111,114,Insured-Unsubsidized,Housing Authority of Pine,"244 Wedemeyer Hills, Prairie Village, NE 09806",(412) 500-8703,Limited Dividend,1973-04-14,331467,Dennis Alford,Lucasfilm,1163 Cowles Trace,(412) 088-3775,deck1989@gmail.com,Profit Motivated,Pittsburgh
800501370,42003,Allegheny,16,West Homestead,1229 Macedonia Court,658 Sampson Field,Anacortes,PA,89135,328,Insured-Subsidized,Housing Authority of East Deer,"833 Mandalay Court, Cleveland, UT 44558",(412) 631-2008,Profit Motivated,2010-04-21,274456,Lloyd Gonzales,Life Map,486 John Loop,(412) 457-4687,calculators2023@gmail.com,Limited Dividend,Pittsburgh
800203961,42003,Allegheny,13,West Deer,Netobill,422 Del Monte Manor,Encinitas,PA,35062,450,Insured-Unsubsidized,Housing Authority of East Deer,"827 Plaza Drive, Worcester, MD 94306",(412) 987-7291,Limited Dividend,2016-04-28,284108,Garland Lee,Vitamax Health Food Center,611 Rosa Parks Hills,(412) 979-9976,overnight2002@outlook.com,Profit Motivated,Baltimore
800591838,42003,Allegheny,13,West Mifflin,Fender Musical Instruments Corporation,866 Ward Manor,Muskego,PA,62686,69,Insured-Unsubsidized,Housing Authority of Etna,"569 Leroy Motorway, Cortland, WY 44374",(412) 510-5116,Non-Profit,2002-01-03,193889,Man Huber,Las Vegas Yard Management,1378 Malvina Trace,(412) 888-9439,blame1865@yandex.com,Profit Motivated,Pittsburgh
